邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,IGF2_IGF1R,Heart,IGF2,IGF1R,2.026,0.0
AGM,发送,2,FN1_integrin_a8b1_complex,Heart,FN1,integrin,1.289,0.0
AGM,发送,3,FN1_integrin_aVb1_complex,Heart,FN1,integrin,1.237,0.0
AGM,发送,4,FN1_integrin_aVb5_complex,Heart,FN1,integrin,1.193,0.0
AGM,发送,5,FN1_integrin_a4b1_complex,Heart,FN1,integrin,1.162,0.0
AGM,发送,6,FN1_integrin_a3b1_complex,Heart,FN1,integrin,1.158,0.0
AGM,发送,7,FN1_integrin_a11b1_complex,Heart,FN1,integrin,1.151,0.0
AGM,发送,8,FGF2_FGFR2,Heart,FGF2,FGFR2,1.13,0.001
AGM,发送,9,COL2A1_integrin_a1b1_complex,Heart,COL2A1,integrin,0.81,0.0
AGM,发送,10,COL2A1_integrin_a11b1_complex,Heart,COL2A1,integrin,0.806,0.0
AGM,接收,1,IGF2_IGF2R,Heart,IGF2R,IGF2,2.296,0.0
AGM,接收,2,PPIA_BSG,Heart,BSG,PPIA,1.369,0.0
AGM,接收,3,COL3A1_integrin_a1b1_complex,Heart,integrin,COL3A1,1.048,0.0
AGM,接收,4,COL3A1_ADGRG1,Heart,ADGRG1,COL3A1,0.823,0.0
AGM,接收,5,MPZL1_MPZL1,Heart,MPZL1,MPZL1,0.802,0.0
AGM,接收,6,LAMC1_integrin_a6b1_complex,Heart,integrin,LAMC1,0.718,0.001
AGM,接收,7,COL4A1_integrin_a1b1_complex,Heart,integrin,COL4A1,0.675,0.037
AGM,接收,8,NRG3_ERBB4,Heart,ERBB4,NRG3,0.659,0.0
AGM,接收,9,COL1A2_integrin_a1b1_complex,Heart,integrin,COL1A2,0.626,0.001
AGM,接收,10,CDH2_CDH2,Heart,CDH2,CDH2,0.621,0.0
Branchial arch,发送,1,IGF2_IGF2R,Heart,IGF2,IGF2R,2.274,0.001
Branchial arch,发送,2,IGF2_IGF1R,Heart,IGF2,IGF1R,2.087,0.0
Branchial arch,发送,3,FN1_integrin_aVb1_complex,Heart,FN1,integrin,1.302,0.0
Branchial arch,发送,4,FN1_integrin_aVb5_complex,Heart,FN1,integrin,1.302,0.0
Branchial arch,发送,5,FN1_integrin_a3b1_complex,Heart,FN1,integrin,1.282,0.0
Branchial arch,发送,6,FGF2_FGFR2,Heart,FGF2,FGFR2,1.189,0.0
Branchial arch,发送,7,FN1_integrin_a8b1_complex,Heart,FN1,integrin,1.167,0.0
Branchial arch,发送,8,FN1_integrin_a11b1_complex,Heart,FN1,integrin,1.156,0.0
Branchial arch,发送,9,FN1_integrin_a4b1_complex,Heart,FN1,integrin,1.143,0.0
Branchial arch,发送,10,NPPA_NPR1,Heart,NPPA,NPR1,0.94,0.0
Branchial arch,接收,1,IGF2_IGF2R,Heart,IGF2R,IGF2,2.629,0.0
Branchial arch,接收,2,IGF2_IGF1R,Heart,IGF1R,IGF2,1.884,0.001
Branchial arch,接收,3,PPIA_BSG,Heart,BSG,PPIA,1.333,0.0
Branchial arch,接收,4,DLK1_NOTCH1,Heart,NOTCH1,DLK1,1.071,0.0
Branchial arch,接收,5,COL18A1_integrin_a1b1_complex,Heart,integrin,COL18A1,1.049,0.0
Branchial arch,接收,6,COL3A1_integrin_a1b1_complex,Heart,integrin,COL3A1,0.961,0.0
Branchial arch,接收,7,DLK1_NOTCH3,Heart,NOTCH3,DLK1,0.961,0.0
Branchial arch,接收,8,DLK1_NOTCH2,Heart,NOTCH2,DLK1,0.961,0.0
Branchial arch,接收,9,COL2A1_integrin_a1b1_complex,Heart,integrin,COL2A1,0.845,0.0
Branchial arch,接收,10,COL4A1_integrin_a1b1_complex,Heart,integrin,COL4A1,0.79,0.0
Cavity,发送,1,IGF2_IGF1R,Heart,IGF2,IGF1R,1.851,0.017
Cavity,发送,2,FN1_integrin_aVb1_complex,Heart,FN1,integrin,1.209,0.0
Cavity,发送,3,FN1_integrin_aVb5_complex,Heart,FN1,integrin,1.158,0.0
Cavity,发送,4,FN1_integrin_a4b1_complex,Heart,FN1,integrin,1.157,0.0
Cavity,发送,5,COL2A1_integrin_a1b1_complex,Heart,COL2A1,integrin,0.817,0.0
Cavity,发送,6,COL4A1_integrin_a1b1_complex,Heart,COL4A1,integrin,0.723,0.0
Cavity,发送,7,COL4A1_ADGRG6,Heart,COL4A1,ADGRG6,0.701,0.0
Cavity,发送,8,APP_FPR2,Heart,APP,FPR2,0.606,0.028
Cavity,发送,9,APP_TNFRSF21,Heart,APP,TNFRSF21,0.568,0.001
Cavity,发送,10,TNC_integrin_a9b1_complex,Heart,TNC,integrin,0.47,0.0
Cavity,接收,1,IGF2_IGF2R,Heart,IGF2R,IGF2,2.247,0.004
Cavity,接收,2,NPPA_NPR1,Heart,NPR1,NPPA,0.765,0.0
Cavity,接收,3,COL1A1_integrin_a1b1_complex,Heart,integrin,COL1A1,0.688,0.0
Cavity,接收,4,COL1A2_integrin_a1b1_complex,Heart,integrin,COL1A2,0.669,0.0
Cavity,接收,5,NRG3_ERBB4,Heart,ERBB4,NRG3,0.63,0.0
Cavity,接收,6,COL19A1_integrin_a1b1_complex,Heart,integrin,COL19A1,0.518,0.002
Cavity,接收,7,COL5A2_integrin_a1b1_complex,Heart,integrin,COL5A2,0.46,0.008
Cavity,接收,8,COL4A2_integrin_a1b1_complex,Heart,integrin,COL4A2,0.425,0.02
Cavity,接收,9,COL5A1_integrin_a1b1_complex,Heart,integrin,COL5A1,0.398,0.002
Cavity,接收,10,COL26A1_integrin_a1b1_complex,Heart,integrin,COL26A1,0.376,0.0
Connective tissue,发送,1,IGF2_IGF2R,Heart,IGF2,IGF2R,2.419,0.001
Connective tissue,发送,2,IGF2_IGF1R,Heart,IGF2,IGF1R,1.981,0.004
Connective tissue,发送,3,FN1_integrin_aVb1_complex,Heart,FN1,integrin,1.322,0.0
Connective tissue,发送,4,FN1_integrin_aVb5_complex,Heart,FN1,integrin,1.246,0.0
Connective tissue,发送,5,FN1_integrin_a3b1_complex,Heart,FN1,integrin,1.174,0.0
Connective tissue,发送,6,FN1_integrin_a4b1_complex,Heart,FN1,integrin,1.149,0.003
Connective tissue,发送,7,FN1_integrin_a8b1_complex,Heart,FN1,integrin,1.148,0.0
Connective tissue,发送,8,FN1_integrin_a11b1_complex,Heart,FN1,integrin,1.134,0.0
