邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,DLK1_NOTCH3,Mesenchyme,DLK1,NOTCH3,1.184,0.014
AGM,发送,2,COL18A1_integrin_a1b1_complex,Mesenchyme,COL18A1,integrin,0.883,0.0
AGM,发送,3,COL18A1_integrin_a11b1_complex,Mesenchyme,COL18A1,integrin,0.865,0.0
AGM,发送,4,TENM2_ADGRL2,Mesenchyme,TENM2,ADGRL2,0.423,0.037
AGM,发送,5,TENM2_FLRT3_complex_ADGRL2,Mesenchyme,TENM2,FLRT3,0.423,0.037
AGM,发送,6,VEGFB_NRP1,Mesenchyme,VEGFB,NRP1,0.422,0.0
AGM,发送,7,WNT7B_SFRP1,Mesenchyme,WNT7B,SFRP1,0.383,0.0
AGM,发送,8,VEGFB_FLT1_complex,Mesenchyme,VEGFB,FLT1,0.374,0.0
AGM,发送,9,VEGFB_FLT1,Mesenchyme,VEGFB,FLT1,0.374,0.0
AGM,发送,10,WNT6_SFRP1,Mesenchyme,WNT6,SFRP1,0.372,0.0
AGM,接收,1,IGF2_IGF2R,Mesenchyme,IGF2R,IGF2,1.735,0.001
AGM,接收,2,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,Mesenchyme,byALDH1A2,atRetinoicAcid,0.652,0.0
AGM,接收,3,atRetinoicAcid_byALDH1A2_RAreceptor_RXRA,Mesenchyme,byALDH1A2,atRetinoicAcid,0.635,0.0
AGM,接收,4,atRetinoicAcid_byALDH1A2_RAreceptor_RARA_RXRA,Mesenchyme,byALDH1A2,atRetinoicAcid,0.631,0.0
AGM,接收,5,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,Mesenchyme,byALDH1A2,atRetinoicAcid,0.631,0.0
AGM,接收,6,EFNA5_EPHA7,Mesenchyme,EPHA7,EFNA5,0.576,0.025
AGM,接收,7,DAG1_NRXN3,Mesenchyme,NRXN3,DAG1,0.534,0.006
AGM,接收,8,SLIT2_ROBO1,Mesenchyme,ROBO1,SLIT2,0.512,0.038
AGM,接收,9,NRXN1_DAG1,Mesenchyme,DAG1,NRXN1,0.49,0.05
AGM,接收,10,TENM4_FLRT3_complex_ADGRL1,Mesenchyme,FLRT3,TENM4,0.401,0.004
Brain,发送,1,DLK1_NOTCH1,Mesenchyme,DLK1,NOTCH1,1.41,0.0
Brain,发送,2,DLK1_NOTCH2,Mesenchyme,DLK1,NOTCH2,1.269,0.013
Brain,发送,3,DLK1_NOTCH3,Mesenchyme,DLK1,NOTCH3,1.241,0.0
Brain,发送,4,COL3A1_ADGRG1,Mesenchyme,COL3A1,ADGRG1,1.039,0.0
Brain,发送,5,COL18A1_integrin_a1b1_complex,Mesenchyme,COL18A1,integrin,0.927,0.0
Brain,发送,6,COL4A1_integrin_a1b1_complex,Mesenchyme,COL4A1,integrin,0.705,0.008
Brain,发送,7,COL2A1_integrin_a1b1_complex,Mesenchyme,COL2A1,integrin,0.689,0.02
Brain,发送,8,NTN1_DCC,Mesenchyme,NTN1,DCC,0.592,0.0
Brain,发送,9,DAG1_NRXN3,Mesenchyme,DAG1,NRXN3,0.525,0.025
Brain,发送,10,NCAM1_AGRN,Mesenchyme,NCAM1,AGRN,0.506,0.048
Brain,接收,1,AGRN_PTPRS,Mesenchyme,PTPRS,AGRN,0.606,0.035
Brain,接收,2,NRXN1_DAG1,Mesenchyme,DAG1,NRXN1,0.533,0.004
Brain,接收,3,NRXN2_DAG1,Mesenchyme,DAG1,NRXN2,0.499,0.002
Brain,接收,4,EFNB3_EPHB3,Mesenchyme,EPHB3,EFNB3,0.458,0.001
Brain,接收,5,CDH5_CDH5,Mesenchyme,CDH5,CDH5,0.413,0.0
Brain,接收,6,EFNB3_EPHB4,Mesenchyme,EPHB4,EFNB3,0.398,0.037
Brain,接收,7,DLL3_NOTCH2,Mesenchyme,NOTCH2,DLL3,0.389,0.0
Brain,接收,8,DLL3_NOTCH1,Mesenchyme,NOTCH1,DLL3,0.386,0.0
Brain,接收,9,EFNB1_EPHB3,Mesenchyme,EPHB3,EFNB1,0.362,0.01
Brain,接收,10,LRPAP1_SORT1,Mesenchyme,SORT1,LRPAP1,0.356,0.004
Connective tissue,发送,1,IGF2_IGF2R,Mesenchyme,IGF2,IGF2R,1.932,0.0
Connective tissue,发送,2,PPIA_BSG,Mesenchyme,PPIA,BSG,1.418,0.0
Connective tissue,发送,3,DLK1_NOTCH3,Mesenchyme,DLK1,NOTCH3,1.256,0.001
Connective tissue,发送,4,COL18A1_integrin_a11b1_complex,Mesenchyme,COL18A1,integrin,0.894,0.0
Connective tissue,发送,5,COL18A1_integrin_a1b1_complex,Mesenchyme,COL18A1,integrin,0.878,0.001
Connective tissue,发送,6,CADM1_NECTIN3,Mesenchyme,CADM1,NECTIN3,0.827,0.041
Connective tissue,发送,7,COL4A1_integrin_a11b1_complex,Mesenchyme,COL4A1,integrin,0.673,0.048
Connective tissue,发送,8,NRXN1_DAG1,Mesenchyme,NRXN1,DAG1,0.593,0.005
Connective tissue,发送,9,DAG1_NRXN3,Mesenchyme,DAG1,NRXN3,0.53,0.046
Connective tissue,发送,10,APP_PLXNA4,Mesenchyme,APP,PLXNA4,0.512,0.004
Connective tissue,接收,1,IGF2_IGF2R,Mesenchyme,IGF2R,IGF2,2.196,0.0
Connective tissue,接收,2,IGF2_IGF1R,Mesenchyme,IGF1R,IGF2,1.966,0.0
Connective tissue,接收,3,COL1A1_integrin_a11b1_complex,Mesenchyme,integrin,COL1A1,1.727,0.0
Connective tissue,接收,4,DLK1_NOTCH2,Mesenchyme,NOTCH2,DLK1,1.677,0.0
Connective tissue,接收,5,DLK1_NOTCH1,Mesenchyme,NOTCH1,DLK1,1.674,0.0
Connective tissue,接收,6,COL1A2_integrin_a11b1_complex,Mesenchyme,integrin,COL1A2,1.619,0.0
Connective tissue,接收,7,DLK1_NOTCH3,Mesenchyme,NOTCH3,DLK1,1.602,0.0
Connective tissue,接收,8,COL3A1_integrin_a11b1_complex,Mesenchyme,integrin,COL3A1,1.59,0.0
Connective tissue,接收,9,COL18A1_integrin_a11b1_complex,Mesenchyme,integrin,COL18A1,1.292,0.0
Connective tissue,接收,10,FN1_integrin_aVb5_complex,Mesenchyme,integrin,FN1,1.236,0.0
Dermomyotome,发送,1,DLK1_NOTCH2,Mesenchyme,DLK1,NOTCH2,1.299,0.002
Dermomyotome,发送,2,DLK1_NOTCH1,Mesenchyme,DLK1,NOTCH1,1.224,0.034
Dermomyotome,发送,3,DLK1_NOTCH3,Mesenchyme,DLK1,NOTCH3,1.22,0.0
Dermomyotome,发送,4,CADM1_CADM1,Mesenchyme,CADM1,CADM1,1.061,0.0
Dermomyotome,发送,5,COL18A1_integrin_a11b1_complex,Mesenchyme,COL18A1,integrin,0.87,0.0
Dermomyotome,发送,6,CADM1_NECTIN3,Mesenchyme,CADM1,NECTIN3,0.853,0.001
Dermomyotome,发送,7,NECTIN2_NECTIN3,Mesenchyme,NECTIN2,NECTIN3,0.605,0.031
Dermomyotome,发送,8,LAMC1_integrin_a6b1_complex,Mesenchyme,LAMC1,integrin,0.504,0.017
Dermomyotome,发送,9,NECTIN1_NECTIN3,Mesenchyme,NECTIN1,NECTIN3,0.498,0.003
Dermomyotome,发送,10,NRXN1_DAG1,Mesenchyme,NRXN1,DAG1,0.476,0.025
Dermomyotome,接收,1,IGF2_IGF2R,Mesenchyme,IGF2R,IGF2,1.751,0.0
Dermomyotome,接收,2,DLK1_NOTCH2,Mesenchyme,NOTCH2,DLK1,1.366,0.0
Dermomyotome,接收,3,DLK1_NOTCH1,Mesenchyme,NOTCH1,DLK1,1.363,0.0
Dermomyotome,接收,4,DLK1_NOTCH3,Mesenchyme,NOTCH3,DLK1,1.292,0.0
Dermomyotome,接收,5,PPIA_BSG,Mesenchyme,BSG,PPIA,1.142,0.011
Dermomyotome,接收,6,CADM1_CADM1,Mesenchyme,CADM1,CADM1,1.061,0.0
Dermomyotome,接收,7,CADM1_NECTIN3,Mesenchyme,NECTIN3,CADM1,0.831,0.003
Dermomyotome,接收,8,NTN1_UNC5C,Mesenchyme,UNC5C,NTN1,0.582,0.0
Dermomyotome,接收,9,DAG1_NRXN3,Mesenchyme,NRXN3,DAG1,0.537,0.003
Dermomyotome,接收,10,NTN1_UNC5B,Mesenchyme,UNC5B,NTN1,0.514,0.0
Liver,发送,1,DLK1_NOTCH1,Mesenchyme,DLK1,NOTCH1,1.831,0.006
Liver,发送,2,DLK1_NOTCH2,Mesenchyme,DLK1,NOTCH2,1.6,0.042
Liver,发送,3,PPIA_BSG,Mesenchyme,PPIA,BSG,1.597,0.008
Liver,发送,4,2arachidonoylglycerol_byDAGLB_CNR1,Mesenchyme,2arachidonoylglycerol,byDAGLB,1.037,0.047
Liver,发送,5,TENM4_ADGRL2,Mesenchyme,TENM4,ADGRL2,0.983,0.049
Liver,发送,6,NCAM1_FGFR1,Mesenchyme,NCAM1,FGFR1,0.903,0.037
Liver,发送,7,TENM2_ADGRL2,Mesenchyme,TENM2,ADGRL2,0.873,0.021
Liver,发送,8,TENM2_FLRT3_complex_ADGRL2,Mesenchyme,TENM2,FLRT3,0.873,0.021
Liver,发送,9,PTPRS_NTRK3,Mesenchyme,PTPRS,NTRK3,0.7,0.012
Liver,发送,10,CDH3_CDH3,Mesenchyme,CDH3,CDH3,0.688,0.026
Liver,接收,1,KITLG_KIT,Mesenchyme,KIT,KITLG,1.029,0.002
